Age;Job;Marital;Education;Default;Balance;Housing;Loan;Contact;Day;Month;Duration;Campaign;Pdays;Previous;Poutcome;Y
53;Technician;Married;Secondary;No;-3;No;No;Unknown;5;May;1666;1;-1;0;Unknown;No
36;Admin;Divorced;Secondary;No;506;Yes;No;Unknown;5;May;577;1;-1;0;Unknown;No
37;Admin;Single;Secondary;No;0;Yes;No;Unknown;5;May;137;1;-1;0;Unknown;No
44;Services;Divorced;Secondary;No;2586;Yes;No;Unknown;5;May;160;1;-1;0;Unknown;No
50;Management;Married;Secondary;No;49;Yes;No;Unknown;5;May;180;2;-1;0;Unknown;No
60;Blue-collar;Married;Unknown;No;104;Yes;No;Unknown;5;May;22;1;-1;0;Unknown;No
54;Retired;Married;Secondary;No;529;Yes;No;Unknown;5;May;1492;1;-1;0;Unknown;No
58;Retired;Married;Unknown;No;96;Yes;No;Unknown;5;May;616;1;-1;0;Unknown;No
36;Admin;Single;Primary;No;-171;Yes;No;Unknown;5;May;242;1;-1;0;Unknown;No
58;Self-employed;Married;Tertiary;No;-364;Yes;No;Unknown;5;May;355;1;-1;0;Unknown;No
44;Technician;Married;Secondary;No;0;Yes;No;Unknown;5;May;225;2;-1;0;Unknown;No
55;Technician;Divorced;Secondary;No;0;No;No;Unknown;5;May;160;1;-1;0;Unknown;No
29;Management;Single;Tertiary;No;0;Yes;No;Unknown;5;May;363;1;-1;0;Unknown;No
54;Blue-collar;Married;Secondary;No;1291;Yes;No;Unknown;5;May;266;1;-1;0;Unknown;No
48;Management;Divorced;Tertiary;No;-244;Yes;No;Unknown;5;May;253;1;-1;0;Unknown;No
32;Management;Married;Tertiary;No;0;Yes;No;Unknown;5;May;179;1;-1;0;Unknown;No
42;Admin;Single;Secondary;No;-76;Yes;No;Unknown;5;May;787;1;-1;0;Unknown;No
24;Technician;Single;Secondary;No;-103;Yes;Yes;Unknown;5;May;145;1;-1;0;Unknown;No
38;Entrepreneur;Single;Tertiary;No;243;No;Yes;Unknown;5;May;174;1;-1;0;Unknown;No
38;Management;Single;Tertiary;No;424;Yes;No;Unknown;5;May;104;1;-1;0;Unknown;No
47;Blue-collar;Married;Unknown;No;306;Yes;No;Unknown;5;May;13;1;-1;0;Unknown;No
40;Blue-collar;Single;Unknown;No;24;Yes;No;Unknown;5;May;185;1;-1;0;Unknown;No
46;Services;Married;Primary;No;179;Yes;No;Unknown;5;May;1778;1;-1;0;Unknown;No
32;Admin;Married;Tertiary;No;0;Yes;No;Unknown;5;May;138;1;-1;0;Unknown;No
53;Technician;Divorced;Secondary;No;989;Yes;No;Unknown;5;May;812;1;-1;0;Unknown;No
57;Blue-collar;Married;Primary;No;249;Yes;No;Unknown;5;May;164;1;-1;0;Unknown;No
33;Services;Married;Secondary;No;790;Yes;No;Unknown;5;May;391;1;-1;0;Unknown;No
49;Blue-collar;Married;Unknown;No;154;Yes;No;Unknown;5;May;357;1;-1;0;Unknown;No
51;Management;Married;Tertiary;No;6530;Yes;No;Unknown;5;May;91;1;-1;0;Unknown;No
60;Retired;Married;Tertiary;No;100;No;No;Unknown;5;May;528;1;-1;0;Unknown;No
59;Management;Divorced;Tertiary;No;59;Yes;No;Unknown;5;May;273;1;-1;0;Unknown;No
55;Technician;Married;Secondary;No;1205;Yes;No;Unknown;5;May;158;2;-1;0;Unknown;No
35;Blue-collar;Single;Secondary;No;12223;Yes;Yes;Unknown;5;May;177;1;-1;0;Unknown;No
57;Blue-collar;Married;Secondary;No;5935;Yes;Yes;Unknown;5;May;258;1;-1;0;Unknown;No
31;Services;Married;Secondary;No;25;Yes;Yes;Unknown;5;May;172;1;-1;0;Unknown;No
54;Management;Married;Secondary;No;282;Yes;Yes;Unknown;5;May;154;1;-1;0;Unknown;No
55;Blue-collar;Married;Primary;No;23;Yes;No;Unknown;5;May;291;1;-1;0;Unknown;No
43;Technician;Married;Secondary;No;1937;Yes;No;Unknown;5;May;181;1;-1;0;Unknown;No
53;Technician;Married;Secondary;No;384;Yes;No;Unknown;5;May;176;1;-1;0;Unknown;No
44;Blue-collar;Married;Secondary;No;582;No;Yes;Unknown;5;May;211;1;-1;0;Unknown;No
55;Services;Divorced;Secondary;No;91;No;No;Unknown;5;May;349;1;-1;0;Unknown;No
49;Services;Divorced;Secondary;No;0;Yes;Yes;Unknown;5;May;272;1;-1;0;Unknown;No
55;Services;Divorced;Secondary;Yes;1;Yes;No;Unknown;5;May;208;1;-1;0;Unknown;No
45;Admin;Single;Secondary;No;206;Yes;No;Unknown;5;May;193;1;-1;0;Unknown;No
47;Services;Divorced;Secondary;No;164;No;No;Unknown;5;May;212;1;-1;0;Unknown;No
42;Technician;Single;Secondary;No;690;Yes;No;Unknown;5;May;20;1;-1;0;Unknown;No
59;Admin;Married;Secondary;No;2343;Yes;No;Unknown;5;May;1042;1;-1;0;Unknown;Yes
46;Self-employed;Married;Tertiary;No;137;Yes;Yes;Unknown;5;May;246;1;-1;0;Unknown;No
51;Blue-collar;Married;Primary;No;173;Yes;No;Unknown;5;May;529;2;-1;0;Unknown;No
56;Admin;Married;Secondary;No;45;No;No;Unknown;5;May;1467;1;-1;0;Unknown;Yes
41;Technician;Married;Secondary;No;1270;Yes;No;Unknown;5;May;1389;1;-1;0;Unknown;Yes
46;Management;Divorced;Secondary;No;16;Yes;Yes;Unknown;5;May;188;2;-1;0;Unknown;No
57;Retired;Married;Secondary;No;486;Yes;No;Unknown;5;May;180;2;-1;0;Unknown;No
42;Management;Single;Secondary;No;50;No;No;Unknown;5;May;48;1;-1;0;Unknown;No
30;Technician;Married;Secondary;No;152;Yes;Yes;Unknown;5;May;213;2;-1;0;Unknown;No
60;Admin;Married;Secondary;No;290;Yes;No;Unknown;5;May;583;1;-1;0;Unknown;No
60;Blue-collar;Married;Unknown;No;54;Yes;No;Unknown;5;May;221;1;-1;0;Unknown;No
57;Entrepreneur;Divorced;Secondary;No;-37;No;No;Unknown;5;May;173;1;-1;0;Unknown;No
36;Management;Married;Tertiary;No;101;Yes;Yes;Unknown;5;May;426;1;-1;0;Unknown;No
55;Blue-collar;Married;Secondary;No;383;No;No;Unknown;5;May;287;1;-1;0;Unknown;No
60;Retired;Married;Tertiary;No;81;Yes;No;Unknown;5;May;101;1;-1;0;Unknown;No
39;Technician;Married;Secondary;No;0;Yes;No;Unknown;5;May;203;1;-1;0;Unknown;No
46;Management;Married;Tertiary;No;229;Yes;No;Unknown;5;May;197;1;-1;0;Unknown;No
44;Blue-collar;Married;Secondary;No;-674;Yes;No;Unknown;5;May;257;1;-1;0;Unknown;No
53;Blue-collar;Married;Primary;No;90;No;No;Unknown;5;May;124;1;-1;0;Unknown;No
52;Blue-collar;Married;Primary;No;128;Yes;No;Unknown;5;May;229;1;-1;0;Unknown;No
59;Blue-collar;Married;Primary;No;179;Yes;No;Unknown;5;May;55;3;-1;0;Unknown;No
27;Technician;Single;Tertiary;No;0;Yes;No;Unknown;5;May;400;1;-1;0;Unknown;No
44;Blue-collar;Married;Secondary;No;54;Yes;No;Unknown;5;May;197;1;-1;0;Unknown;No
47;Technician;Married;Tertiary;No;151;Yes;No;Unknown;5;May;190;1;-1;0;Unknown;No
34;Admin;Married;Secondary;No;61;No;Yes;Unknown;5;May;21;1;-1;0;Unknown;No
59;Retired;Single;Secondary;No;30;Yes;No;Unknown;5;May;514;1;-1;0;Unknown;No
45;Management;Married;Tertiary;No;523;Yes;No;Unknown;5;May;849;2;-1;0;Unknown;No
29;Services;Divorced;Secondary;No;31;Yes;No;Unknown;5;May;194;1;-1;0;Unknown;No
46;Technician;Divorced;Secondary;No;79;No;No;Unknown;5;May;144;1;-1;0;Unknown;No
56;Self-employed;Married;Primary;No;-34;Yes;Yes;Unknown;5;May;212;2;-1;0;Unknown;No
36;Blue-collar;Married;Primary;No;448;Yes;No;Unknown;5;May;286;1;-1;0;Unknown;No
59;Retired;Divorced;Primary;No;81;Yes;No;Unknown;5;May;107;1;-1;0;Unknown;No
44;Blue-collar;Married;Secondary;No;144;Yes;No;Unknown;5;May;247;2;-1;0;Unknown;No
41;Admin;Married;Secondary;No;351;Yes;No;Unknown;5;May;518;1;-1;0;Unknown;No
33;Management;Single;Tertiary;No;-67;Yes;No;Unknown;5;May;364;1;-1;0;Unknown;No
59;Management;Divorced;Tertiary;No;262;No;No;Unknown;5;May;178;1;-1;0;Unknown;No
57;Technician;Married;Primary;No;0;No;No;Unknown;5;May;98;1;-1;0;Unknown;No
56;Technician;Divorced;Unknown;No;56;Yes;No;Unknown;5;May;439;1;-1;0;Unknown;No
51;Blue-collar;Married;Secondary;No;26;Yes;No;Unknown;5;May;79;1;-1;0;Unknown;No
34;Admin;Married;Unknown;No;3;Yes;No;Unknown;5;May;120;3;-1;0;Unknown;No
43;Services;Married;Secondary;No;41;Yes;Yes;Unknown;5;May;127;2;-1;0;Unknown;No
52;Technician;Married;Tertiary;No;7;No;Yes;Unknown;5;May;175;1;-1;0;Unknown;No
33;Technician;Single;Secondary;No;105;Yes;No;Unknown;5;May;262;2;-1;0;Unknown;No
29;Admin;Single;Secondary;No;818;Yes;Yes;Unknown;5;May;61;1;-1;0;Unknown;No
34;Services;Married;Secondary;No;-16;Yes;Yes;Unknown;5;May;78;1;-1;0;Unknown;No
31;Blue-collar;Married;Secondary;No;0;Yes;No;Unknown;5;May;143;1;-1;0;Unknown;No
55;Services;Married;Secondary;No;2476;Yes;No;Unknown;5;May;579;1;-1;0;Unknown;Yes
55;Management;Married;Unknown;No;1185;No;No;Unknown;5;May;677;1;-1;0;Unknown;No
32;Admin;Single;Secondary;No;217;Yes;No;Unknown;5;May;345;1;-1;0;Unknown;No
38;Technician;Single;Secondary;No;1685;Yes;No;Unknown;5;May;185;1;-1;0;Unknown;No
55;Admin;Single;Secondary;No;802;Yes;Yes;Unknown;5;May;100;2;-1;0;Unknown;No
28;Unemployed;Single;Tertiary;No;0;Yes;No;Unknown;5;May;125;2;-1;0;Unknown;No
23;Blue-collar;Married;Secondary;No;94;Yes;No;Unknown;5;May;193;1;-1;0;Unknown;No
32;Technician;Single;Secondary;No;0;Yes;No;Unknown;5;May;136;1;-1;0;Unknown;No
43;Services;Single;Unknown;No;0;No;No;Unknown;5;May;73;1;-1;0;Unknown;No
32;Blue-collar;Married;Secondary;No;517;Yes;No;Unknown;5;May;528;1;-1;0;Unknown;No
46;Blue-collar;Married;Secondary;No;265;Yes;No;Unknown;5;May;541;1;-1;0;Unknown;No
53;Housemaid;Divorced;Primary;No;947;Yes;No;Unknown;5;May;163;1;-1;0;Unknown;No
34;Self-employed;Single;Secondary;No;3;Yes;No;Unknown;5;May;301;1;-1;0;Unknown;No
57;Unemployed;Married;Tertiary;No;42;No;No;Unknown;5;May;46;1;-1;0;Unknown;No
37;Blue-collar;Married;Secondary;No;37;Yes;No;Unknown;5;May;204;1;-1;0;Unknown;No
59;Blue-collar;Married;Secondary;No;57;Yes;No;Unknown;5;May;98;1;-1;0;Unknown;No
33;Services;Married;Secondary;No;22;Yes;No;Unknown;5;May;71;1;-1;0;Unknown;No
56;Blue-collar;Divorced;Primary;No;8;Yes;No;Unknown;5;May;157;2;-1;0;Unknown;No
48;Unemployed;Married;Secondary;No;293;Yes;No;Unknown;5;May;243;1;-1;0;Unknown;No
43;Services;Married;Primary;No;3;Yes;No;Unknown;5;May;186;2;-1;0;Unknown;No
54;Blue-collar;Married;Primary;No;348;Yes;No;Unknown;5;May;579;2;-1;0;Unknown;No
51;Blue-collar;Married;Unknown;No;-19;Yes;No;Unknown;5;May;163;2;-1;0;Unknown;No
26;Student;Single;Secondary;No;0;Yes;No;Unknown;5;May;610;2;-1;0;Unknown;No
40;Management;Married;Tertiary;No;-4;Yes;No;Unknown;5;May;2033;1;-1;0;Unknown;No
39;Management;Married;Secondary;No;18;Yes;No;Unknown;5;May;85;1;-1;0;Unknown;No
50;Technician;Married;Primary;No;139;No;No;Unknown;5;May;114;2;-1;0;Unknown;No
41;Services;Married;Secondary;No;0;Yes;No;Unknown;5;May;114;2;-1;0;Unknown;No
51;Blue-collar;Married;Unknown;No;1883;Yes;No;Unknown;5;May;57;1;-1;0;Unknown;No
60;Retired;Divorced;Secondary;No;216;Yes;No;Unknown;5;May;238;1;-1;0;Unknown;No
52;Blue-collar;Married;Secondary;No;782;Yes;No;Unknown;5;May;93;3;-1;0;Unknown;No
48;Blue-collar;Married;Secondary;No;904;Yes;No;Unknown;5;May;128;2;-1;0;Unknown;No
48;Services;Married;Unknown;No;1705;Yes;No;Unknown;5;May;107;1;-1;0;Unknown;No
39;Technician;Single;Tertiary;No;47;Yes;No;Unknown;5;May;181;1;-1;0;Unknown;No
47;Services;Single;Secondary;No;176;Yes;No;Unknown;5;May;303;2;-1;0;Unknown;No
40;Blue-collar;Married;Secondary;No;1225;Yes;No;Unknown;5;May;558;5;-1;0;Unknown;No
45;Technician;Married;Secondary;No;86;Yes;No;Unknown;5;May;270;1;-1;0;Unknown;No
26;Admin;Single;Secondary;No;82;Yes;No;Unknown;5;May;228;1;-1;0;Unknown;No
52;Management;Married;Tertiary;No;271;Yes;No;Unknown;5;May;99;1;-1;0;Unknown;No
54;Technician;Married;Secondary;No;1378;Yes;No;Unknown;5;May;240;1;-1;0;Unknown;No
54;Admin;Married;Tertiary;No;184;No;No;Unknown;5;May;673;2;-1;0;Unknown;Yes
50;Blue-collar;Married;Primary;No;0;No;No;Unknown;5;May;233;3;-1;0;Unknown;No
35;Blue-collar;Married;Secondary;No;0;Yes;No;Unknown;5;May;1056;1;-1;0;Unknown;No
44;Services;Married;Secondary;No;1357;Yes;Yes;Unknown;5;May;250;1;-1;0;Unknown;No
53;Entrepreneur;Married;Unknown;No;19;Yes;No;Unknown;5;May;252;1;-1;0;Unknown;No
35;Retired;Single;Primary;No;434;No;No;Unknown;5;May;138;1;-1;0;Unknown;No
60;Admin;Divorced;Secondary;No;92;Yes;No;Unknown;5;May;130;1;-1;0;Unknown;No
53;Admin;Divorced;Secondary;No;1151;Yes;No;Unknown;5;May;412;1;-1;0;Unknown;No
48;Unemployed;Married;Secondary;No;41;Yes;No;Unknown;5;May;179;2;-1;0;Unknown;No
34;Technician;Married;Secondary;No;51;Yes;No;Unknown;5;May;19;2;-1;0;Unknown;No
54;Services;Married;Secondary;No;214;Yes;No;Unknown;5;May;458;2;-1;0;Unknown;No
51;Management;Married;Secondary;No;1161;Yes;No;Unknown;5;May;717;1;-1;0;Unknown;No
31;Services;Married;Tertiary;No;37;Yes;No;Unknown;5;May;313;1;-1;0;Unknown;No
35;Technician;Divorced;Secondary;No;787;Yes;No;Unknown;5;May;683;2;-1;0;Unknown;No
35;Services;Married;Secondary;No;59;Yes;No;Unknown;5;May;1077;1;-1;0;Unknown;No
38;Technician;Married;Secondary;No;253;Yes;No;Unknown;5;May;416;1;-1;0;Unknown;No
36;Admin;Married;Tertiary;No;211;Yes;No;Unknown;5;May;146;2;-1;0;Unknown;No
58;Retired;Married;Primary;No;235;Yes;No;Unknown;5;May;167;1;-1;0;Unknown;No
40;Services;Divorced;Unknown;No;4384;Yes;No;Unknown;5;May;315;1;-1;0;Unknown;No
54;Management;Married;Secondary;No;4080;No;No;Unknown;5;May;140;1;-1;0;Unknown;No
34;Blue-collar;Single;Secondary;No;53;Yes;Yes;Unknown;5;May;346;1;-1;0;Unknown;No
31;Management;Single;Tertiary;No;0;Yes;No;Unknown;5;May;562;1;-1;0;Unknown;No
51;Retired;Married;Secondary;No;2127;Yes;No;Unknown;5;May;172;1;-1;0;Unknown;No
33;Management;Married;Tertiary;No;377;Yes;No;Unknown;5;May;217;1;-1;0;Unknown;No
55;Management;Married;Tertiary;No;73;Yes;No;Unknown;5;May;142;2;-1;0;Unknown;No
42;Admin;Married;Secondary;No;445;Yes;No;Unknown;5;May;67;1;-1;0;Unknown;No
34;Blue-collar;Married;Secondary;No;243;Yes;No;Unknown;5;May;291;1;-1;0;Unknown;No
33;Blue-collar;Single;Secondary;No;307;Yes;No;Unknown;5;May;309;2;-1;0;Unknown;No
38;Services;Married;Secondary;No;155;Yes;No;Unknown;5;May;248;1;-1;0;Unknown;No
50;Technician;Divorced;Tertiary;No;173;No;Yes;Unknown;5;May;98;1;-1;0;Unknown;No
43;Management;Married;Tertiary;No;400;Yes;No;Unknown;5;May;256;1;-1;0;Unknown;No
61;Blue-collar;Divorced;Primary;No;1428;Yes;No;Unknown;5;May;82;2;-1;0;Unknown;No
47;Admin;Married;Secondary;No;219;Yes;No;Unknown;5;May;577;1;-1;0;Unknown;No
48;Self-employed;Married;Tertiary;No;7;Yes;No;Unknown;5;May;286;1;-1;0;Unknown;No
44;Blue-collar;Married;Secondary;No;575;Yes;No;Unknown;5;May;477;1;-1;0;Unknown;No
35;Student;Single;Unknown;No;298;Yes;No;Unknown;5;May;611;2;-1;0;Unknown;No
35;Services;Married;Secondary;No;0;Yes;No;Unknown;5;May;471;1;-1;0;Unknown;No
50;Services;Married;Secondary;No;5699;Yes;No;Unknown;5;May;381;2;-1;0;Unknown;No
41;Management;Married;Tertiary;No;176;Yes;Yes;Unknown;5;May;42;1;-1;0;Unknown;No
41;Management;Married;Tertiary;No;517;Yes;No;Unknown;5;May;251;1;-1;0;Unknown;No
39;Services;Single;Unknown;No;257;Yes;No;Unknown;5;May;408;1;-1;0;Unknown;No
42;Retired;Married;Secondary;No;56;Yes;No;Unknown;5;May;215;1;-1;0;Unknown;No
38;Blue-collar;Married;Secondary;No;-390;Yes;No;Unknown;5;May;287;1;-1;0;Unknown;No
53;Retired;Married;Secondary;No;330;Yes;No;Unknown;5;May;216;2;-1;0;Unknown;No
59;Housemaid;Divorced;Primary;No;195;No;No;Unknown;5;May;366;2;-1;0;Unknown;No
36;Services;Married;Secondary;No;301;Yes;No;Unknown;5;May;210;1;-1;0;Unknown;No
54;Blue-collar;Married;Primary;No;-41;Yes;No;Unknown;5;May;288;1;-1;0;Unknown;No
40;Technician;Married;Tertiary;No;483;Yes;No;Unknown;5;May;168;1;-1;0;Unknown;No
47;Unknown;Married;Unknown;No;28;No;No;Unknown;5;May;338;2;-1;0;Unknown;No
53;Unemployed;Married;Unknown;No;13;No;No;Unknown;5;May;410;3;-1;0;Unknown;No
46;Housemaid;Married;Primary;No;965;No;No;Unknown;5;May;177;1;-1;0;Unknown;No
39;Management;Married;Tertiary;No;378;Yes;Yes;Unknown;5;May;127;2;-1;0;Unknown;No
40;Unemployed;Married;Secondary;No;219;Yes;No;Unknown;5;May;357;1;-1;0;Unknown;No
28;Blue-collar;Married;Primary;No;324;Yes;No;Unknown;5;May;175;1;-1;0;Unknown;No
35;Entrepreneur;Divorced;Secondary;No;-69;Yes;No;Unknown;5;May;300;1;-1;0;Unknown;No
55;Retired;Married;Secondary;No;0;No;Yes;Unknown;5;May;136;1;-1;0;Unknown;No
43;Technician;Divorced;Unknown;No;205;Yes;No;Unknown;5;May;1419;1;-1;0;Unknown;No
48;Blue-collar;Married;Primary;No;278;Yes;No;Unknown;5;May;125;2;-1;0;Unknown;No
58;Management;Married;Unknown;No;1065;Yes;No;Unknown;5;May;213;3;-1;0;Unknown;No
33;Management;Single;Tertiary;No;34;Yes;No;Unknown;5;May;27;1;-1;0;Unknown;No
36;Blue-collar;Married;Unknown;No;1033;No;No;Unknown;5;May;238;2;-1;0;Unknown;No
53;Services;Divorced;Secondary;No;1467;Yes;No;Unknown;5;May;124;1;-1;0;Unknown;No
47;Blue-collar;Married;Primary;No;-12;Yes;No;Unknown;5;May;18;1;-1;0;Unknown;No
31;Services;Married;Secondary;No;388;Yes;No;Unknown;5;May;730;2;-1;0;Unknown;No
57;Entrepreneur;Married;Secondary;No;294;Yes;No;Unknown;5;May;746;2;-1;0;Unknown;No
53;Blue-collar;Married;Unknown;No;1827;No;No;Unknown;5;May;121;1;-1;0;Unknown;No
55;Blue-collar;Married;Primary;No;627;Yes;No;Unknown;5;May;247;1;-1;0;Unknown;No
45;Blue-collar;Married;Primary;No;25;Yes;No;Unknown;5;May;40;1;-1;0;Unknown;No
53;Admin;Divorced;Secondary;No;315;Yes;No;Unknown;5;May;181;2;-1;0;Unknown;No
37;Blue-collar;Married;Primary;No;0;Yes;No;Unknown;5;May;79;1;-1;0;Unknown;No
44;Admin;Divorced;Secondary;No;66;Yes;No;Unknown;5;May;206;1;-1;0;Unknown;No
49;Blue-collar;Divorced;Primary;No;-9;Yes;Yes;Unknown;5;May;389;1;-1;0;Unknown;No
46;Technician;Married;Secondary;No;349;Yes;Yes;Unknown;5;May;127;1;-1;0;Unknown;No
43;Entrepreneur;Married;Unknown;No;100;Yes;No;Unknown;5;May;702;1;-1;0;Unknown;No
38;Admin;Married;Secondary;No;0;No;No;Unknown;5;May;151;1;-1;0;Unknown;No
43;Technician;Married;Secondary;No;434;Yes;No;Unknown;5;May;117;1;-1;0;Unknown;No
49;Management;Married;Tertiary;No;3237;Yes;No;Unknown;5;May;232;3;-1;0;Unknown;No
42;Management;Married;Unknown;No;275;No;No;Unknown;5;May;408;2;-1;0;Unknown;No
22;Blue-collar;Single;Secondary;No;0;Yes;No;Unknown;5;May;179;2;-1;0;Unknown;No
40;Management;Married;Tertiary;No;207;Yes;No;Unknown;5;May;39;1;-1;0;Unknown;No
39;Blue-collar;Married;Secondary;No;483;Yes;No;Unknown;5;May;282;1;-1;0;Unknown;No
51;Services;Married;Secondary;No;2248;Yes;No;Unknown;5;May;714;2;-1;0;Unknown;No
49;Admin;Married;Secondary;No;428;Yes;No;Unknown;5;May;50;1;-1;0;Unknown;No
53;Blue-collar;Married;Secondary;No;0;Yes;Yes;Unknown;5;May;181;1;-1;0;Unknown;No
34;Services;Single;Secondary;No;0;Yes;No;Unknown;5;May;142;1;-1;0;Unknown;No
33;Technician;Divorced;Secondary;No;140;Yes;No;Unknown;5;May;227;1;-1;0;Unknown;No
50;Management;Single;Tertiary;No;297;Yes;No;Unknown;5;May;119;1;-1;0;Unknown;No
39;Blue-collar;Married;Primary;No;279;Yes;No;Unknown;5;May;361;1;-1;0;Unknown;No
59;Entrepreneur;Divorced;Secondary;No;901;Yes;No;Unknown;5;May;73;3;-1;0;Unknown;No
30;Technician;Single;Secondary;No;2573;Yes;No;Unknown;5;May;67;2;-1;0;Unknown;No
36;Services;Married;Secondary;No;143;Yes;Yes;Unknown;5;May;350;1;-1;0;Unknown;No
40;Blue-collar;Married;Secondary;No;475;Yes;No;Unknown;5;May;332;2;-1;0;Unknown;No
53;Blue-collar;Married;Secondary;No;70;Yes;No;Unknown;5;May;611;2;-1;0;Unknown;No
34;Management;Single;Tertiary;No;318;Yes;No;Unknown;5;May;113;2;-1;0;Unknown;No
37;Technician;Married;Secondary;No;275;Yes;No;Unknown;5;May;132;1;-1;0;Unknown;No
42;Management;Divorced;Tertiary;No;742;Yes;No;Unknown;5;May;58;3;-1;0;Unknown;No
41;Entrepreneur;Married;Primary;No;236;Yes;No;Unknown;5;May;151;1;-1;0;Unknown;No
30;Student;Single;Tertiary;No;25;Yes;No;Unknown;5;May;89;2;-1;0;Unknown;No
37;Management;Single;Tertiary;No;600;Yes;No;Unknown;5;May;152;1;-1;0;Unknown;No
39;Admin;Divorced;Secondary;No;-349;Yes;No;Unknown;5;May;611;2;-1;0;Unknown;No
41;Blue-collar;Married;Primary;No;183;Yes;Yes;Unknown;5;May;110;2;-1;0;Unknown;No
40;Blue-collar;Married;Primary;No;0;Yes;No;Unknown;5;May;463;1;-1;0;Unknown;No
42;Management;Single;Tertiary;No;0;Yes;Yes;Unknown;5;May;562;2;-1;0;Unknown;Yes
40;Blue-collar;Divorced;Primary;No;0;Yes;No;Unknown;5;May;962;1;-1;0;Unknown;No
57;Technician;Married;Secondary;No;1078;Yes;No;Unknown;5;May;10;4;-1;0;Unknown;No
56;Entrepreneur;Divorced;Secondary;No;155;No;No;Unknown;5;May;118;3;-1;0;Unknown;No
37;Admin;Married;Secondary;No;190;Yes;No;Unknown;5;May;92;2;-1;0;Unknown;No
